Year,Week,Division,Cases
2025,8,DNCC,null
2025,8,Barishal Division (Out of CC),2
2025,8,Chattogram Division (Out of CC),2
2025,8,Dhaka Division (Out of CC),1
2025,8,DSCC,1
2025,8,Khulna Division (Out of CC),null
2025,8,Rajshahi Division (Out of CC),null
2025,8,Mymensingh Division (Out of CC),1
2025,8,DNCC,3
2025,9,Barishal Division (Out of CC),null
2025,9,Chattogram Division (Out of CC),5
2025,9,Dhaka Division (Out of CC),null
2025,9,DSCC,2
2025,9,Khulna Division (Out of CC),null
2025,9,Rajshahi Division (Out of CC),null
2025,9,Mymensingh Division (Out of CC),null
2025,9,DNCC,1
2025,9,Barishal Division (Out of CC),2
2025,9,Chattogram Division (Out of CC),4
2025,9,Dhaka Division (Out of CC),2
2025,9,DSCC,1
2025,9,Khulna Division (Out of CC),null
2025,9,Rajshahi Division (Out of CC),1
2025,9,Mymensingh Division (Out of CC),null
2025,9,DNCC,null
2025,9,Barishal Division (Out of CC),3
2025,9,Chattogram Division (Out of CC),1
2025,9,Dhaka Division (Out of CC),2
2025,9,DSCC,2
2025,9,Khulna Division (Out of CC),1
2025,9,Rajshahi Division (Out of CC),null
2025,9,Mymensingh Division (Out of CC),null
2025,9,DNCC,2
2025,9,Barishal Division (Out of CC),2
2025,9,Chattogram Division (Out of CC),null
2025,9,Dhaka Division (Out of CC),1
2025,9,DSCC,2
2025,9,Khulna Division (Out of CC),1
2025,9,Rajshahi Division (Out of CC),null
2025,9,Mymensingh Division (Out of CC),null
2025,9,DNCC,null
2025,9,Barishal Division (Out of CC),3
2025,9,Chattogram Division (Out of CC),null
2025,9,Dhaka Division (Out of CC),3
2025,9,DSCC,1
2025,9,Khulna Division (Out of CC),null
2025,9,Rajshahi Division (Out of CC),2
2025,9,Mymensingh Division (Out of CC),null
2025,9,DNCC,1
2025,9,Barishal Division (Out of CC),1
2025,9,Chattogram Division (Out of CC),1
2025,9,Dhaka Division (Out of CC),3
2025,9,DSCC,1
2025,9,Khulna Division (Out of CC),null
2025,9,Rajshahi Division (Out of CC),null
2025,9,Mymensingh Division (Out of CC),null
2025,9,DNCC,null
2025,45,Barishal Division (Out of CC),129
2025,45,Chattogram Division (Out of CC),98
2025,45,Dhaka Division (Out of CC),120
2025,45,DNCC,120
2025,45,DSCC,117
2025,45,Khulna Division (Out of CC),13
2025,45,Mymensingh Division (Out of CC),29
2025,45,Rajshahi Division (Out of CC),22
2025,45,Rangpur Division (Out of CC),null
2025,45,Sylhet Division (Out of CC),3
2025,46,Barishal Division (Out of CC),163
2025,46,Chattogram Division (Out of CC),108
2025,46,Dhaka Division (Out of CC),76
2025,46,DNCC,261
2025,46,DSCC,175
2025,46,Khulna Division (Out of CC),154
2025,46,Mymensingh Division (Out of CC),87
2025,46,Rajshahi Division (Out of CC),98
2025,46,Rangpur Division (Out of CC),32
2025,46,Sylhet Division (Out of CC),8
2025,46,Barishal Division (Out of CC),132
2025,46,Chattogram Division (Out of CC),98
2025,46,Dhaka Division (Out of CC),266
2025,46,DNCC,284
2025,46,DSCC,145
2025,46,Khulna Division (Out of CC),59
2025,46,Mymensingh Division (Out of CC),65
2025,46,Rajshahi Division (Out of CC),70
2025,46,Rangpur Division (Out of CC),19
2025,46,Sylhet Division (Out of CC),9
2025,46,Barishal Division (Out of CC),151
2025,46,Chattogram Division (Out of CC),125
2025,46,Dhaka Division (Out of CC),208
2025,46,DNCC,241
2025,46,DSCC,175
2025,46,Khulna Division (Out of CC),59
2025,46,Mymensingh Division (Out of CC),75
2025,46,Rajshahi Division (Out of CC),45
2025,46,Rangpur Division (Out of CC),19
2025,46,Sylhet Division (Out of CC),3
2025,46,Barishal Division (Out of CC),128
2025,46,Chattogram Division (Out of CC),99
2025,46,Dhaka Division (Out of CC),219
2025,46,DNCC,251
2025,46,DSCC,152
2025,46,Khulna Division (Out of CC),68
2025,46,Mymensingh Division (Out of CC),70
2025,46,Rajshahi Division (Out of CC),34
2025,46,Rangpur Division (Out of CC),43
2025,46,Sylhet Division (Out of CC),5
2025,46,Barishal Division (Out of CC),134
2025,46,Chattogram Division (Out of CC),103
2025,46,Dhaka Division (Out of CC),188
2025,46,DNCC,200
2025,46,DSCC,171
2025,46,Khulna Division (Out of CC),55
2025,46,Mymensingh Division (Out of CC),66
2025,46,Rajshahi Division (Out of CC),79
2025,46,Rangpur Division (Out of CC),33
2025,46,Sylhet Division (Out of CC),5
2025,46,Barishal Division (Out of CC),58
2025,46,Chattogram Division (Out of CC),66
2025,46,Dhaka Division (Out of CC),84
2025,46,DNCC,189
2025,46,DSCC,45
2025,46,Khulna Division (Out of CC),null
2025,46,Mymensingh Division (Out of CC),46
2025,46,Rajshahi Division (Out of CC),null
2025,46,Rangpur Division (Out of CC),null
2025,46,Sylhet Division (Out of CC),null
2025,46,Barishal Division (Out of CC),167
2025,46,Chattogram Division (Out of CC),103
2025,46,Dhaka Division (Out of CC),229
2025,46,DNCC,203
2025,46,DSCC,60
2025,46,Khulna Division (Out of CC),null
2025,46,Mymensingh Division (Out of CC),72
2025,46,Rajshahi Division (Out of CC),null
2025,46,Rangpur Division (Out of CC),null
2025,46,Sylhet Division (Out of CC),null
2025,47,Barishal Division (Out of CC),155
2025,47,Chattogram Division (Out of CC),132
2025,47,Dhaka Division (Out of CC),278
2025,47,DNCC,220
2025,47,DSCC,115
2025,47,Khulna Division (Out of CC),114
2025,47,Mymensingh Division (Out of CC),59
2025,47,Rajshahi Division (Out of CC),113
2025,47,Rangpur Division (Out of CC),null
2025,47,Sylhet Division (Out of CC),9
2025,47,Barishal Division (Out of CC),169
2025,47,Chattogram Division (Out of CC),151
2025,47,Dhaka Division (Out of CC),239
2025,47,DNCC,172
2025,47,DSCC,157
2025,47,Khulna Division (Out of CC),70
2025,47,Mymensingh Division (Out of CC),89
2025,47,Rajshahi Division (Out of CC),109
2025,47,Rangpur Division (Out of CC),12
2025,47,Sylhet Division (Out of CC),8
2025,47,Barishal Division (Out of CC),138
2025,47,Chattogram Division (Out of CC),151
2025,47,Dhaka Division (Out of CC),130
2025,47,DNCC,194
2025,47,DSCC,131
2025,47,Khulna Division (Out of CC),72
2025,47,Mymensingh Division (Out of CC),null
2025,47,Rajshahi Division (Out of CC),88
2025,47,Rangpur Division (Out of CC),3
2025,47,Sylhet Division (Out of CC),5
2025,47,Barishal Division (Out of CC),113
2025,47,Chattogram Division (Out of CC),119
2025,47,Dhaka Division (Out of CC),158
2025,47,DNCC,167
2025,47,DSCC,116
2025,47,Khulna Division (Out of CC),null
2025,47,Mymensingh Division (Out of CC),77
